ilce_adi;mahalle_adi;en_cok_yetistirilen_urunler
Ahırlı;ALİÇERÇİ;BUĞDAY, ARPA, MERCİMEK, NOHUT, FASULYE
Ahırlı;BADEMLİ;BUĞDAY, ARPA, NOHUT, ERİK
Ahırlı;BALIKLAVA;BUĞDAY, ELMA, ÇİLEK, NOHUT
Ahırlı;BÜYÜKÖZ;BUĞDAY, ARPA
Ahırlı;ÇİFTLİK;BUĞDAY, ARPA, FASULYE
Ahırlı;ERDOĞAN;BUĞDAY, ELMA, ÜZÜM
Ahırlı;KARACAKUYU;BUĞDAY, ARPA, NOHUT
Ahırlı;KAYACIK;BUĞDAY, ELMA, ARPA, NOHUT
Ahırlı;KURUÇAY;YOK
Ahırlı;KÜÇÜKÖZ;BUĞDAY, ELMA, ARPA, ERİK
Akören;AVDAN;BUĞDAY, MERCİMEK
Akören;KAYASU;BUĞDAY, ELMA, DOMATES, PATATES, ARPA, KİRAZ, PATLICAN
Akören;AHMEDİYE;MISIR, BUĞDAY, ARPA, ŞEKER PANCARI
Akören;ALAN;BUĞDAY, ARPA, MERCİMEK, NOHUT
Akören;BELKUYU;BUĞDAY, ELMA, ARPA, KİRAZ, NOHUT, SUSAM
Akören;ÇATÖREN;BUĞDAY, ÇEREZLİK KABAK, ARPA
Akören;DUTLU;BUĞDAY, ARPA, NOHUT
Akören;ORHANİYE;MISIR, BUĞDAY, ARPA
Akören;SÜLEYMANİYE;BUĞDAY, ŞEKER PANCARI, NOHUT
Akören;TÜLCE;BUĞDAY, NOHUT, PATLICAN
Akören;KARAHÜYÜK;BUĞDAY
Akşehir;ÇAKILLAR;KİRAZ, ÇİLEK, VİŞNE, PATLICAN
Akşehir;GEDİL;BUĞDAY, ARPA, PATLICAN, SARIMSAK
Akşehir;KARAHÜYÜK;ELMA, DOMATES, BİBER, SALATALIK, VİŞNE
Akşehir;ADSIZ;BUĞDAY, ARPA
Akşehir;ALANYURT;KİRAZ, VİŞNE
Akşehir;ALTUNTAŞ;MISIR, HAŞHAŞ, ŞEKER PANCARI
Akşehir;ATAKENT;MISIR, ELMA, KİRAZ, VİŞNE
Akşehir;BOZLAĞAN;HAŞHAŞ, DOMATES, PATATES, BİBER, SOĞAN
Akşehir;CANKURTARAN;KİRAZ, ÇİLEK
Akşehir;ÇAMLI;ELMA, KİRAZ, ÇİLEK, VİŞNE
Akşehir;ÇİMENDERE;PATATES, ÇİLEK, FASULYE, PATLICAN
Akşehir;DEĞİRMENKÖY;KİRAZ, VİŞNE
Akşehir;DOĞRUGÖZ;KİRAZ, VİŞNE, ERİK
Akşehir;ENGİLİ;KİRAZ, VİŞNE, PATLICAN
Akşehir;GÖLÇAYIR;KİRAZ, VİŞNE, ERİK
Akşehir;GÖZPINARI;HAŞHAŞ, ŞEKER PANCARI
Akşehir;ILICAK;KİRAZ, VİŞNE, SARIMSAK
Akşehir;KARABULUT;BUĞDAY, YONCA, ARPA, ŞEKER PANCARI
Akşehir;ORTACA;BUĞDAY, ARPA, PATLICAN
Akşehir;ORTAKÖY;DOMATES, BİBER, PATLICAN
Akşehir;REİS;BUĞDAY, ARPA
Akşehir;SAVAŞ;KİRAZ, VİŞNE, SARIMSAK
Akşehir;SORKUN;KİRAZ
Akşehir;SÖĞÜTLÜ;BUĞDAY, ARPA, ŞEKER PANCARI
Akşehir;TEKKE;YOK
Akşehir;TİPİKÖY;BUĞDAY, ASPİR, HAŞHAŞ, ARPA, ANASON
Akşehir;ULUPINAR;KİRAZ, VİŞNE
Akşehir;ÜÇHÜYÜK;KİRAZ, ÇİLEK
Akşehir;YAŞARLAR;BUĞDAY, ARPA
Akşehir;YAYLABELEN;MISIR, BUĞDAY, ARPA, ÇİLEK, VİŞNE
Akşehir;YAZLA;HAŞHAŞ, ŞEKER PANCARI
Akşehir;YENİKÖY;KİRAZ, ÇİLEK, VİŞNE
Akşehir;YEŞİLKÖY;BUĞDAY, ARPA
Akşehir;SARAY;KİRAZ, VİŞNE
Altınekin;OĞUZELİ;MISIR, AYÇİÇEĞİ
Altınekin;AKCAŞAR;MISIR, BUĞDAY, ÇEREZLİK KABAK, AYÇİÇEĞİ, ŞEKER PANCARI
Altınekin;AYIŞIĞI;BUĞDAY, ARPA
