Product,Category_Desc,Category
SİYAH HAVUÇ,"Verimli Toprak, Yüksek Su İhtiyacı",A
HAVUÇ,"Verimli Toprak, Yüksek Su İhtiyacı",A
MISIR,"Verimli Toprak, Yüksek Su İhtiyacı",A
ŞEKER PANCARI,"Verimli Toprak, Yüksek Su İhtiyacı",A
KAVUN,"Verimli Toprak, Yüksek Su İhtiyacı",A
PATATES,"Verimli Toprak, Orta Su İhtiyacı",B
MARUL,"Verimli Toprak, Orta Su İhtiyacı",B
DOMATES,"Verimli Toprak, Orta Su İhtiyacı",B
BİBER,"Verimli Toprak, Orta Su İhtiyacı",B
SALATALIK,"Verimli Toprak, Orta Su İhtiyacı",B
KARPUZ,"Killi Toprak, Yüksek Su İhtiyacı",C
YONCA,"Killi Toprak, Yüksek Su İhtiyacı",C
LAHANA,"Killi Toprak, Yüksek Su İhtiyacı",C
AYÇİÇEĞİ,"Killi Toprak, Yüksek Su İhtiyacı",C
ASPİR,"Killi Toprak, Orta Su İhtiyacı",D
ÇEREZLİK KABAK,"Killi Toprak, Orta Su İhtiyacı",D
ARPA,"Killi Toprak, Orta Su İhtiyacı",D
BUĞDAY,"Killi Toprak, Orta Su İhtiyacı",D
ÇİLEK,"Killi Toprak, Orta Su İhtiyacı",D
HAŞHAŞ,"Killi Toprak, Düşük Su İhtiyacı",E
REZENE,"Killi Toprak, Düşük Su İhtiyacı",E
KANOLA,"Killi Toprak, Düşük Su İhtiyacı",E
KİMYON,"Killi Toprak, Düşük Su İhtiyacı",E
MERCİMEK,"Kumlu Toprak, Yüksek Su İhtiyacı",F
KABAK,"Kumlu Toprak, Yüksek Su İhtiyacı",F
NOHUT,"Kumlu Toprak, Yüksek Su İhtiyacı",F
FASULYE,"Kumlu Toprak, Yüksek Su İhtiyacı",F
PIRASA,"Kumlu Toprak, Yüksek Su İhtiyacı",F
ŞARIMSAK,"Kumlu Toprak, Düşük Su İhtiyacı",G
SOĞAN,"Kumlu Toprak, Düşük Su İhtiyacı",G
CEVİZ,"Kumlu Toprak, Düşük Su İhtiyacı",G
