ilce_adi;mahalle_adi;sulak_alan_miktari
Ahırlı;ALİÇERÇİ;10%
Ahırlı;BADEMLİ;10%
Ahırlı;BALIKLAVA;20%
Ahırlı;BÜYÜKÖZ;5%
Ahırlı;ÇİFTLİK;75%
Ahırlı;ERDOĞAN;50%
Ahırlı;KARACAKUYU;20%
Ahırlı;KAYACIK;30%
Ahırlı;KURUÇAY;10%
Ahırlı;KÜÇÜKÖZ;0%
Akören;AVDAN;0%
Akören;KAYASU;45%
Akören;AHMEDİYE;40%
Akören;ALAN;0%
Akören;BELKUYU;5%
Akören;ÇATÖREN;60%
Akören;DUTLU;0%
Akören;ORHANİYE;50%
Akören;SÜLEYMANİYE;70%
Akören;TÜLCE;20%
Akören;KARAHÜYÜK;35%
Akşehir;ÇAKILLAR;30%
Akşehir;GEDİL;30%
Akşehir;KARAHÜYÜK;50%
Akşehir;ADSIZ;50%
Akşehir;ALANYURT;65%
Akşehir;ALTUNTAŞ;10%
Akşehir;ATAKENT;90%
Akşehir;BOZLAĞAN;50%
Akşehir;CANKURTARAN;65%
Akşehir;ÇAMLI;60%
Akşehir;ÇİMENDERE;30%
Akşehir;DEĞİRMENKÖY;70%
Akşehir;DOĞRUGÖZ;70%
Akşehir;ENGİLİ;80%
Akşehir;GÖLÇAYIR;40%
Akşehir;GÖZPINARI;25%
Akşehir;ILICAK;60%
Akşehir;KARABULUT;5%
Akşehir;ORTACA;5%
Akşehir;ORTAKÖY;20%
Akşehir;REİS;20%
Akşehir;SAVAŞ;30%
Akşehir;SORKUN;5%
Akşehir;SÖĞÜTLÜ;100%
Akşehir;TEKKE;0%
Akşehir;TİPİKÖY;30%
Akşehir;ULUPINAR;50%
Akşehir;ÜÇHÜYÜK;20%
Akşehir;YAŞARLAR;50%
Akşehir;YAYLABELEN;30%
Akşehir;YAZLA;40%
Akşehir;YENİKÖY;80%
Akşehir;YEŞİLKÖY;30%
Akşehir;SARAY;65%
Altınekin;OĞUZELİ;70%
Altınekin;AKCAŞAR;40%
Altınekin;AYIŞIĞI;0%
Altınekin;AKKÖY;90%
Altınekin;BORUKKUYU;80%
Altınekin;HACINUMAN;40%
Altınekin;KARAKAYA;5%
Altınekin;KOÇAŞ;5%
Altınekin;KOÇYAKA;10%
Altınekin;MANTAR;50%
Altınekin;YENİÖLMEZ;90%
Altınekin;SARNIÇ;60%
Altınekin;TOPRAKLIK;90%
Altınekin;YENİKUYU;80%
Altınekin;YENİYAYLA;80%
Altınekin;DEDELER;30%
Altınekin;AKINCILAR;70%
Beyşehir;ADAKÖY;60%
Beyşehir;AĞILÖNÜ;5%
Beyşehir;AKBURUN;70%
Beyşehir;AKÇABELEN;30%
Beyşehir;AVDANCIK;40%
Beyşehir;BADEMLİ;0%
Beyşehir;BAYAT;30%
Beyşehir;BAYAVŞAR;40%
Beyşehir;BAYINDIR;15%
Beyşehir;BAŞGÖZE;20%
Beyşehir;BEKDEMİR;60%
Beyşehir;DAMLAPINAR;40%
Beyşehir;DOĞANBEY;40%
Beyşehir;DOĞANCIK;40%
Beyşehir;DUMANLI;50%
Beyşehir;EMEN;30%
Beyşehir;ESENCE;50%
Beyşehir;EYLİKLER;30%
Beyşehir;EĞİRLER;50%
Beyşehir;FASILLAR;20%
Beyşehir;GÖKÇEKUYU;20%
Beyşehir;GÖKÇİMEN;5%
Beyşehir;GÖLKAŞI;60%
Beyşehir;GÖLYAKA;10%
Beyşehir;GÖNEN;2%
Beyşehir;GÖÇÜ;60%
Beyşehir;GÜNDOĞDU;20%
Beyşehir;HUĞLU;20%
Beyşehir;HÜSEYİNLER;2%
Beyşehir;İSAKÖY;20%
Beyşehir;KARAALİ;40%
Beyşehir;KARABAYAT;35%
Beyşehir;KARADİKEN;40%
Beyşehir;KARAHİSAR;65%
Beyşehir;KAYABAŞI;2%
Beyşehir;KURUCUOVA;40%
Beyşehir;KUŞLUCA;20%
Beyşehir;KÜÇÜKAVŞAR;5%
Beyşehir;MESUTLAR;65%
Beyşehir;SADIKHACI;20%
Beyşehir;SARIKÖY;10%
Beyşehir;SEVİNDİK;30%
Beyşehir;ŞAMLAR;10%
Beyşehir;ÜÇPINAR;10%
Beyşehir;ÜSTÜNLER;40%
Beyşehir;ÜZÜMLÜ;25%
Beyşehir;YAZYURDU;5%
Beyşehir;YENİDOĞAN;50%
Beyşehir;YEŞİLDAĞ;45%
Beyşehir;YUKARIESENCE;45%
Beyşehir;YUNUSLAR;10%
Beyşehir;ÇİFTLİK;35%
Beyşehir;ÇİVRİL;10%
Beyşehir;ÇUKURAĞIL;45%
Bozkır;ÇAĞLAYAN;15%
Bozkır;HAMZALAR;30%
Bozkır;AKÇAPINAR;10%
Bozkır;ARMUTLU;20%
Bozkır;ARSLANTAŞ;0%
Bozkır;AYDINKIŞLA;10%
Bozkır;AYVALCA;25%
Bozkır;BAĞYURDU;10%
Bozkır;BAYBAĞAN;30%
Bozkır;BOZDAM;20%
Bozkır;DEREİÇİ;50%
Bozkır;DEREKÖY;10%
Bozkır;ELMAAĞAÇ;5%
Bozkır;HACILAR;15%
Bozkır;HACIYUNUSLAR;10%
Bozkır;HARMANPINAR;10%
Bozkır;HİSARLIK;10%
Bozkır;IŞIKLAR;15%
Bozkır;KARABAYIR;35%
Bozkır;KARACAARDIÇ;10%
Bozkır;KARACAHİSAR;70%
Bozkır;KARAYAHYA;0%
Bozkır;KAYACILAR;0%
Bozkır;KAYAPINAR;30%
Bozkır;KINIK;10%
Bozkır;KIZILÇAKIR;0%
Bozkır;KİLDERE;5%
Bozkır;KOVANLIK;35%
Bozkır;KOZAĞAÇ;60%
Bozkır;KUŞÇA;0%
Bozkır;KÜÇÜKHİSARLIK;5%
Bozkır;PINARCIK;15%
Bozkır;SARIOĞLAN;10%
Bozkır;SAZLI;10%
Bozkır;SOĞUCAK;20%
Bozkır;SORKUN;10%
Bozkır;SÖĞÜT;25%
Bozkır;TARLABAŞI;10%
Bozkır;TAŞBAŞI;0%
Bozkır;TEPEARASI;30%
Bozkır;TEPELİCE;5%
Bozkır;ULUPINAR;20%
Bozkır;ÜÇPINAR;25%
Bozkır;YALNIZCA;5%
Bozkır;YAZDAMI;10%
Bozkır;YELBEYİ;10%
Bozkır;YENİKÖY;20%
Bozkır;YOLÖREN;20%
Çeltik;GÖKPINAR;30%
Çeltik;ADAKASIM;35%
Çeltik;DOĞANYURT;25%
Çeltik;KAŞÖREN;60%
Çeltik;KÜÇÜKHASAN;60%
Çeltik;TORUNLAR;70%
Çeltik;İSHAKUŞAĞI;70%
Çeltik;HONAMLI;60%
Cihanbeyli;BÖĞRÜDELİK;50%
Cihanbeyli;YAPALI;35%
