ilce_adi;mahalle_adi;sulama_suyu_kaynagi_yonetimi
Ahırlı;ALİÇERÇİ;YOK
Ahırlı;BADEMLİ;YOK
Ahırlı;BALIKLAVA;SULAMA BİRLİĞİ
Ahırlı;BÜYÜKÖZ;ŞAHSİ KUYULAR
Ahırlı;ÇİFTLİK;ŞAHSİ KUYULAR
Ahırlı;ERDOĞAN;ŞAHSİ KUYULAR
Ahırlı;KARACAKUYU;ŞAHSİ KUYULAR
Ahırlı;KAYACIK;ŞAHSİ KUYULAR
Ahırlı;KURUÇAY;ŞAHSİ KUYULAR
Ahırlı;KÜÇÜKÖZ;ŞAHSİ KUYULAR
Akören;AVDAN;ŞAHSİ KUYULAR
Akören;KAYASU;SULAMA KOOPERATİFİ
Akören;AHMEDİYE;SULAMA KOOPERATİFİ
Akören;ALAN;YOK
Akören;BELKUYU;ŞAHSİ KUYULAR
Akören;ÇATÖREN;SULAMA KOOPERATİFİ
Akören;DUTLU;YOK
Akören;ORHANİYE;SULAMA KOOPERATİFİ
Akören;SÜLEYMANİYE;SULAMA KOOPERATİFİ
Akören;TÜLCE;SULAMA KOOPERATİFİ
Akören;KARAHÜYÜK;SULAMA KOOPERATİFİ
Akşehir;ÇAKILLAR;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;GEDİL;SULAMA KOOPERATİFİ
Akşehir;KARAHÜYÜK;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;ADSIZ;SULAMA KOOPERATİFİ
Akşehir;ALANYURT;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;ALTUNTAŞ;SULAMA KOOPERATİFİ
Akşehir;ATAKENT;SULAMA KOOPERATİFİ
Akşehir;BOZLAĞAN;SULAMA KOOPERATİFİ
Akşehir;CANKURTARAN;ŞAHSİ KUYULAR
Akşehir;ÇAMLI;SULAMA BİRLİĞİ
Akşehir;ÇİMENDERE;SULAMA BİRLİĞİ, SULAMA KOOPERATİFİ
Akşehir;DEĞİRMENKÖY;SULAMA KOOPERATİFİ
Akşehir;DOĞRUGÖZ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;ENGİLİ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;GÖLÇAYIR;SULAMA KOOPERATİFİ
Akşehir;GÖZPINARI;SULAMA KOOPERATİFİ
Akşehir;ILICAK;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;KARABULUT;SULAMA KOOPERATİFİ
Akşehir;ORTACA;ŞAHSİ KUYULAR
Akşehir;ORTAKÖY;ŞAHSİ KUYULAR
Akşehir;REİS;ŞAHSİ KUYULAR
Akşehir;SAVAŞ;SULAMA KOOPERATİFİ
Akşehir;SORKUN;SULAMA KOOPERATİFİ
Akşehir;SÖĞÜTLÜ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;TEKKE;ŞAHSİ KUYULAR
Akşehir;TİPİKÖY;ŞAHSİ KUYULAR
Akşehir;ULUPINAR;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Akşehir;ÜÇHÜYÜK;ŞAHSİ KUYULAR
Akşehir;YAŞARLAR;ŞAHSİ KUYULAR
Akşehir;YAYLABELEN;SULAMA KOOPERATİFİ
Akşehir;YAZLA;SULAMA KOOPERATİFİ
Akşehir;YENİKÖY;ŞAHSİ KUYULAR
Akşehir;YEŞİLKÖY;ŞAHSİ KUYULAR
Akşehir;SARAY;SULAMA KOOPERATİFİ
Altınekin;OĞUZELİ;ŞAHSİ KUYULAR
Altınekin;AKCAŞAR;ŞAHSİ KUYULAR
Altınekin;AYIŞIĞI;YOK
Altınekin;AKKÖY;ŞAHSİ KUYULAR
Altınekin;BORUKKUYU;SULAMA KOOPERATİFİ
Altınekin;HACINUMAN;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Altınekin;KARAKAYA;ŞAHSİ KUYULAR
Altınekin;KOÇAŞ;SULAMA KOOPERATİFİ
Altınekin;KOÇYAKA;ŞAHSİ KUYULAR
Altınekin;MANTAR;SULAMA KOOPERATİFİ
Altınekin;YENİÖLMEZ;ŞAHSİ KUYULAR
Altınekin;SARNIÇ;ŞAHSİ KUYULAR
Altınekin;TOPRAKLIK;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Altınekin;YENİKUYU;SULAMA KOOPERATİFİ
Altınekin;YENİYAYLA;ŞAHSİ KUYULAR
Altınekin;DEDELER;ŞAHSİ KUYULAR
Altınekin;AKINCILAR;ŞAHSİ KUYULAR
Beyşehir;ADAKÖY;ŞAHSİ KUYULAR
Beyşehir;AĞILÖNÜ;ŞAHSİ KUYULAR
Beyşehir;AKBURUN;ŞAHSİ KUYULAR
Beyşehir;AKÇABELEN;SULAMA KOOPERATİFİ
Beyşehir;AVDANCIK;SULAMA BİRLİĞİ
Beyşehir;BADEMLİ;YOK
Beyşehir;BAYAT;SULAMA BİRLİĞİ
Beyşehir;BAYAVŞAR;SULAMA BİRLİĞİ
Beyşehir;BAYINDIR;SULAMA BİRLİĞİ
Beyşehir;BAŞGÖZE;SULAMA BİRLİĞİ
Beyşehir;BEKDEMİR;SULAMA BİRLİĞİ
Beyşehir;DAMLAPINAR;SULAMA BİRLİĞİ
Beyşehir;DOĞANBEY;SULAMA BİRLİĞİ
Beyşehir;DOĞANCIK;SULAMA KOOPERATİFİ
Beyşehir;DUMANLI;SULAMA BİRLİĞİ
Beyşehir;EMEN;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Beyşehir;ESENCE;ŞAHSİ KUYULAR
Beyşehir;EYLİKLER;ŞAHSİ KUYULAR
Beyşehir;EĞİRLER;ŞAHSİ KUYULAR
Beyşehir;FASILLAR;ŞAHSİ KUYULAR
Beyşehir;GÖKÇEKUYU;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;GÖKÇİMEN;ŞAHSİ KUYULAR
Beyşehir;GÖLKAŞI;SULAMA KOOPERATİFİ
Beyşehir;GÖLYAKA;ŞAHSİ KUYULAR
Beyşehir;GÖNEN;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;GÖÇÜ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Beyşehir;GÜNDOĞDU;ŞAHSİ KUYULAR
Beyşehir;HUĞLU;ŞAHSİ KUYULAR
Beyşehir;HÜSEYİNLER;ŞAHSİ KUYULAR
Beyşehir;İSAKÖY;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;KARAALİ;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Beyşehir;KARABAYAT;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Beyşehir;KARADİKEN;ŞAHSİ KUYULAR
Beyşehir;KARAHİSAR;SULAMA BİRLİĞİ
Beyşehir;KAYABAŞI;ŞAHSİ KUYULAR
Beyşehir;KURUCUOVA;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;KUŞLUCA;ŞAHSİ KUYULAR
Beyşehir;KÜÇÜKAVŞAR;ŞAHSİ KUYULAR
Beyşehir;MESUTLAR;ŞAHSİ KUYULAR
Beyşehir;SADIKHACI;SULAMA KOOPERATİFİ
Beyşehir;SARIKÖY;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;SEVİNDİK;SULAMA KOOPERATİFİ
Beyşehir;ŞAMLAR;ŞAHSİ KUYULAR
Beyşehir;ÜÇPINAR;ŞAHSİ KUYULAR
Beyşehir;ÜSTÜNLER;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;ÜZÜMLÜ;ŞAHSİ KUYULAR
Beyşehir;YAZYURDU;ŞAHSİ KUYULAR
Beyşehir;YENİDOĞAN;SULAMA KOOPERATİFİ
Beyşehir;YEŞİLDAĞ;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;YUKARIESENCE;SULAMA BİRLİĞİ
Beyşehir;YUNUSLAR;ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
Beyşehir;ÇİFTLİK;SULAMA BİRLİĞİ
Beyşehir;ÇİVRİL;SULAMA BİRLİĞİ
Beyşehir;ÇUKURAĞIL;ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
Bozkır;ÇAĞLAYAN;ŞAHSİ KUYULAR
Bozkır;HAMZALAR;ŞAHSİ KUYULAR
Bozkır;AKÇAPINAR;SULAMA KOOPERATİFİ
Bozkır;ARMUTLU;ŞAHSİ KUYULAR
Bozkır;ARSLANTAŞ;ŞAHSİ KUYULAR
Bozkır;AYDINKIŞLA;ŞAHSİ KUYULAR
Bozkır;AYVALCA;ŞAHSİ KUYULAR
Bozkır;BAĞYURDU;ŞAHSİ KUYULAR
