ilce_adi;mahalle_adi;sulanabilir_alanda_yetistirilen_urunler
Ahırlı;ALİÇERÇİ;YOK
Ahırlı;BADEMLİ;YOK
Ahırlı;BALIKLAVA;ELMA, KİRAZ, VİŞNE, ÇİLEK, ERİK
Ahırlı;BÜYÜKÖZ;BUĞDAY, ARPA
Ahırlı;ÇİFTLİK;FASULYE
Ahırlı;ERDOĞAN;ELMA, KİRAZ, ÜZÜM, DOMATES, BİBER, PATLICAN, PATATES
Ahırlı;KARACAKUYU;BUĞDAY, DOMATES, PATLICAN, PATATES
Ahırlı;KAYACIK;MISIR, ELMA, FASULYE
Ahırlı;KURUÇAY;DOMATES, PATATES
Ahırlı;KÜÇÜKÖZ;ELMA, ERİK
Akören;AVDAN;DOMATES, BİBER, PATLICAN, PATATES, SOĞAN
Akören;KAYASU;ELMA, KİRAZ, ÇİLEK, FASULYE, DOMATES, BİBER, PATLICAN, PATATES
Akören;AHMEDİYE;ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE
Akören;ALAN;YOK
Akören;BELKUYU;ELMA, KİRAZ
Akören;ÇATÖREN;ŞEKER PANCARI, MISIR, FASULYE, PATATES
Akören;DUTLU;YOK
Akören;ORHANİYE;ŞEKER PANCARI, MISIR, FASULYE, PATATES
Akören;SÜLEYMANİYE;BUĞDAY, ŞEKER PANCARI, MISIR, FASULYE, KAVUN, KARPUZ
Akören;TÜLCE;DOMATES, PATLICAN, PATATES, SOĞAN
Akören;KARAHÜYÜK;MISIR, YONCA, PATATES
Akşehir;ÇAKILLAR;KİRAZ, VİŞNE, ÇİLEK
Akşehir;GEDİL;BUĞDAY, FASULYE, HAŞHAŞ, DOMATES, SARIMSAK
Akşehir;KARAHÜYÜK;BUĞDAY, ŞEKER PANCARI, MISIR, DOMATES, SALATALIK
Akşehir;ADSIZ;ŞEKER PANCARI, VİŞNE, HAŞHAŞ
Akşehir;ALANYURT;KİRAZ, VİŞNE, ÇİLEK
Akşehir;ALTUNTAŞ;ŞEKER PANCARI, MISIR, HAŞHAŞ
Akşehir;ATAKENT;ELMA, KİRAZ, VİŞNE, ÇİLEK
Akşehir;BOZLAĞAN;HAŞHAŞ, DOMATES, BİBER, PATLICAN, PATATES
Akşehir;CANKURTARAN;ÇİLEK
Akşehir;ÇAMLI;MISIR, VİŞNE, ERİK
Akşehir;ÇİMENDERE;ŞEKER PANCARI, ÇİLEK, PATATES
Akşehir;DEĞİRMENKÖY;KİRAZ, VİŞNE
Akşehir;DOĞRUGÖZ;KİRAZ, VİŞNE, ÇİLEK, ERİK
Akşehir;ENGİLİ;KİRAZ, VİŞNE, ÜZÜM, DOMATES, BİBER, PATLICAN, PATATES
Akşehir;GÖLÇAYIR;ELMA, KİRAZ, VİŞNE
Akşehir;GÖZPINARI;ŞEKER PANCARI, MISIR, HAŞHAŞ
Akşehir;ILICAK;KİRAZ, VİŞNE, ÇİLEK, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN, SARIMSAK
Akşehir;KARABULUT;BİBER, PATLICAN, SALATALIK
Akşehir;ORTACA;DOMATES, PATLICAN, PATATES, SOĞAN
Akşehir;ORTAKÖY;ŞEKER PANCARI
Akşehir;REİS;MISIR, DOMATES, BİBER, PATLICAN, PATATES
Akşehir;SAVAŞ;KİRAZ, VİŞNE, PATATES, SARIMSAK
Akşehir;SORKUN;KİRAZ, VİŞNE, ÇİLEK
Akşehir;SÖĞÜTLÜ;BUĞDAY, ARPA, ŞEKER PANCARI, HAŞHAŞ
Akşehir;TEKKE;YOK
Akşehir;TİPİKÖY;MISIR, YONCA, ASPİR, HAŞHAŞ
Akşehir;ULUPINAR;KİRAZ, VİŞNE
Akşehir;ÜÇHÜYÜK;KİRAZ, ÇİLEK
Akşehir;YAŞARLAR;ŞEKER PANCARI, MISIR, HAŞHAŞ
Akşehir;YAYLABELEN;MISIR, YONCA, FASULYE
Akşehir;YAZLA;ŞEKER PANCARI, MISIR, YONCA, HAŞHAŞ
Akşehir;YENİKÖY;KİRAZ, VİŞNE, ÇİLEK
Akşehir;YEŞİLKÖY;ŞEKER PANCARI, MISIR, FASULYE, DOMATES, BİBER, PATLICAN, PATATES
Akşehir;SARAY;KİRAZ, VİŞNE, DOMATES
Altınekin;OĞUZELİ;ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
Altınekin;AKCAŞAR;ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, ÇEREZLİK KABAK
Altınekin;AYIŞIĞI;YOK
Altınekin;AKKÖY;BUĞDAY, ŞEKER PANCARI, AYÇİÇEĞİ
Altınekin;BORUKKUYU;ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KAVUN, KARPUZ
Altınekin;HACINUMAN;ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE
Altınekin;KARAKAYA;DOMATES, BİBER, PATLICAN, PATATES
Altınekin;KOÇAŞ;ŞEKER PANCARI, AYÇİÇEĞİ
Altınekin;KOÇYAKA;ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
Altınekin;MANTAR;BUĞDAY, ARPA, ŞEKER PANCARI
Altınekin;YENİÖLMEZ;BUĞDAY, ARPA, ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
Altınekin;SARNIÇ;ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE
Altınekin;TOPRAKLIK;ŞEKER PANCARI, AYÇİÇEĞİ
Altınekin;YENİKUYU;ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, PATATES
Altınekin;YENİYAYLA;ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE
Altınekin;DEDELER;ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE
Altınekin;AKINCILAR;ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
Beyşehir;ADAKÖY;FASULYE
Beyşehir;AĞILÖNÜ;ELMA, ÇİLEK, DOMATES, BİBER, PATLICAN, PATATES
Beyşehir;AKBURUN;ŞEKER PANCARI
Beyşehir;AKÇABELEN;ÇİLEK, FASULYE, DOMATES, BİBER, PATLICAN, PATATES
Beyşehir;AVDANCIK;ŞEKER PANCARI, PATATES
Beyşehir;BADEMLİ;YOK
Beyşehir;BAYAT;ŞEKER PANCARI, PATATES
Beyşehir;BAYAVŞAR;ŞEKER PANCARI, DOMATES, BİBER, PATLICAN, PATATES
Beyşehir;BAYINDIR;ŞEKER PANCARI, ELMA, DOMATES, BİBER, PATLICAN, PATATES
Beyşehir;BAŞGÖZE;BUĞDAY, ARPA, YONCA, PATATES
Beyşehir;BEKDEMİR;ŞEKER PANCARI, DOMATES, BİBER, PATATES, SOĞAN, SARIMSAK
Beyşehir;DAMLAPINAR;ŞEKER PANCARI, ELMA, KİRAZ, ÇİLEK, DOMATES, BİBER, PATLICAN, PATATES
Beyşehir;DOĞANBEY;BUĞDAY, ŞEKER PANCARI, YONCA
Beyşehir;DOĞANCIK;HAŞHAŞ
Beyşehir;DUMANLI;FASULYE, DOMATES, PATATES, SOĞAN
Beyşehir;EMEN;ŞEKER PANCARI, MISIR, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN
Beyşehir;ESENCE;ŞEKER PANCARI
Beyşehir;EYLİKLER;ŞEKER PANCARI
Beyşehir;EĞİRLER;BUĞDAY, ARPA, YONCA
Beyşehir;FASILLAR;ŞEKER PANCARI, FASULYE
Beyşehir;GÖKÇEKUYU;MISIR, YONCA, FASULYE, PATATES
Beyşehir;GÖKÇİMEN;YONCA, DOMATES, BİBER, PATLICAN, PATATES
Beyşehir;GÖLKAŞI;ŞEKER PANCARI, MISIR
Beyşehir;GÖLYAKA;ELMA, KİRAZ
Beyşehir;GÖNEN;BUĞDAY, ARPA, MERCİMEK
Beyşehir;GÖÇÜ;ŞEKER PANCARI, FASULYE, DOMATES, BİBER, PATATES
Beyşehir;GÜNDOĞDU;ŞEKER PANCARI, FASULYE
Beyşehir;HUĞLU;CEVİZ, FASULYE, DOMATES, BİBER, PATLICAN, PATATES
Beyşehir;HÜSEYİNLER;MISIR, KİRAZ
Beyşehir;İSAKÖY;BUĞDAY, ŞEKER PANCARI, MISIR, DOMATES, BİBER, PATLICAN, PATATES
Beyşehir;KARAALİ;BUĞDAY, ARPA
Beyşehir;KARABAYAT;ŞEKER PANCARI
Beyşehir;KARADİKEN;ŞEKER PANCARI, FASULYE, KAVUN, KARPUZ, DOMATES, BİBER
Beyşehir;KARAHİSAR;ŞEKER PANCARI, MISIR, KİRAZ, ÇİLEK, FASULYE, DOMATES, BİBER, PATLICAN, PATATES
Beyşehir;KAYABAŞI;DOMATES, BİBER, PATLICAN, PATATES
Beyşehir;KURUCUOVA;DOMATES, BİBER, PATLICAN, PATATES, SOĞAN, SARIMSAK
Beyşehir;KUŞLUCA;ŞEKER PANCARI
