ilce_adi;mahalle_adi;talep_edilen_tarimsal_egitimler
Ahırlı;ALİÇERÇİ;HAYVANCILIK, MODERN BAĞCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Ahırlı;BADEMLİ;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Ahırlı;BALIKLAVA;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Ahırlı;BÜYÜKÖZ;MODERN BAĞCILIK, ARI YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Ahırlı;ÇİFTLİK;HAYVANCILIK
Ahırlı;ERDOĞAN;ARI YETİŞTİRİCİLİĞİ, MANTAR YETİŞTİRİCİLİĞİ
Ahırlı;KARACAKUYU;SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Ahırlı;KAYACIK;MODERN MEYVECİLİK, HAYVANCILIK
Ahırlı;KURUÇAY;HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
Ahırlı;KÜÇÜKÖZ;MODERN MEYVECİLİK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;AVDAN;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;KAYASU;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;AHMEDİYE;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;ALAN;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;BELKUYU;MODERN MEYVECİLİK, HAYVANCILIK
Akören;ÇATÖREN;MODERN SULAMA SİSTEMLERİ, ÇİLEK YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;DUTLU;HAYVANCILIK
Akören;ORHANİYE;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;SÜLEYMANİYE;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akören;TÜLCE;MANTAR YETİŞTİRİCİLİĞİ
Akören;KARAHÜYÜK;SEBZE YETİŞTİRİCİLİĞİ, ARI YETİŞTİRİCİLİĞİ
Akşehir;ÇAKILLAR;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, ÇİLEK YETİŞTİRİCİLİĞİ
Akşehir;GEDİL;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ
Akşehir;KARAHÜYÜK;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Akşehir;ADSIZ;MODERN MEYVECİLİK, ÇİLEK YETİŞTİRİCİLİĞİ
Akşehir;ALANYURT;SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Akşehir;ALTUNTAŞ;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Akşehir;ATAKENT;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ
Akşehir;BOZLAĞAN;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akşehir;CANKURTARAN;ÇİLEK YETİŞTİRİCİLİĞİ
Akşehir;ÇAMLI;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, ÇİLEK YETİŞTİRİCİLİĞİ
Akşehir;ÇİMENDERE;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
Akşehir;DEĞİRMENKÖY;MODERN MEYVECİLİK
Akşehir;DOĞRUGÖZ;HAYVANCILIK, MODERN BAĞCILIK, ARI YETİŞTİRİCİLİĞİ
Akşehir;ENGİLİ;MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK, HAYVANCILIK
Akşehir;GÖLÇAYIR;MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK
Akşehir;GÖZPINARI;SEBZE YETİŞTİRİCİLİĞİ, ÇİLEK YETİŞTİRİCİLİĞİ
Akşehir;ILICAK;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
Akşehir;KARABULUT;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akşehir;ORTACA;SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Akşehir;ORTAKÖY;HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Akşehir;REİS;SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Akşehir;SAVAŞ;MODERN MEYVECİLİK, HAYVANCILIK
Akşehir;SORKUN;MODERN MEYVECİLİK
Akşehir;SÖĞÜTLÜ;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
Akşehir;TEKKE;YOK
