ilce_adi;mahalle_adi;tarimsal_sulama_suyu
Ahırlı;ALİÇERÇİ;YOK
Ahırlı;BADEMLİ;YOK
Ahırlı;BALIKLAVA;VAR
Ahırlı;BÜYÜKÖZ;VAR
Ahırlı;ÇİFTLİK;VAR
Ahırlı;ERDOĞAN;YOK
Ahırlı;KARACAKUYU;VAR
Ahırlı;KAYACIK;VAR
Ahırlı;KURUÇAY;VAR
Ahırlı;KÜÇÜKÖZ;VAR
Akören;AVDAN;YOK
Akören;KAYASU;VAR
Akören;AHMEDİYE;VAR
Akören;ALAN;YOK
Akören;BELKUYU;VAR
Akören;ÇATÖREN;VAR
Akören;DUTLU;YOK
Akören;ORHANİYE;VAR
Akören;SÜLEYMANİYE;VAR
Akören;TÜLCE;VAR
Akören;KARAHÜYÜK;VAR
Akşehir;ÇAKILLAR;VAR
Akşehir;GEDİL;VAR
Akşehir;KARAHÜYÜK;VAR
Akşehir;ADSIZ;VAR
Akşehir;ALANYURT;VAR
Akşehir;ALTUNTAŞ;VAR
Akşehir;ATAKENT;VAR
Akşehir;BOZLAĞAN;VAR
Akşehir;CANKURTARAN;VAR
Akşehir;ÇAMLI;VAR
Akşehir;ÇİMENDERE;VAR
Akşehir;DEĞİRMENKÖY;VAR
Akşehir;DOĞRUGÖZ;VAR
Akşehir;ENGİLİ;VAR
Akşehir;GÖLÇAYIR;VAR
Akşehir;GÖZPINARI;VAR
Akşehir;ILICAK;VAR
Akşehir;KARABULUT;VAR
Akşehir;ORTACA;VAR
Akşehir;ORTAKÖY;VAR
Akşehir;REİS;VAR
Akşehir;SAVAŞ;VAR
Akşehir;SORKUN;VAR
Akşehir;SÖĞÜTLÜ;VAR
Akşehir;TEKKE;VAR
Akşehir;TİPİKÖY;VAR
Akşehir;ULUPINAR;VAR
Akşehir;ÜÇHÜYÜK;VAR
Akşehir;YAŞARLAR;VAR
Akşehir;YAYLABELEN;VAR
Akşehir;YAZLA;VAR
Akşehir;YENİKÖY;VAR
Akşehir;YEŞİLKÖY;VAR
Akşehir;SARAY;VAR
Altınekin;OĞUZELİ;VAR
Altınekin;AKCAŞAR;VAR
Altınekin;AYIŞIĞI;YOK
Altınekin;AKKÖY;VAR
Altınekin;BORUKKUYU;VAR
Altınekin;HACINUMAN;VAR
Altınekin;KARAKAYA;VAR
Altınekin;KOÇAŞ;VAR
Altınekin;KOÇYAKA;VAR
Altınekin;MANTAR;VAR
Altınekin;YENİÖLMEZ;VAR
Altınekin;SARNIÇ;VAR
Altınekin;TOPRAKLIK;VAR
Altınekin;YENİKUYU;VAR
Altınekin;YENİYAYLA;VAR
Altınekin;DEDELER;VAR
Altınekin;AKINCILAR;VAR
Beyşehir;ADAKÖY;VAR
Beyşehir;AĞILÖNÜ;VAR
Beyşehir;AKBURUN;VAR
Beyşehir;AKÇABELEN;VAR
Beyşehir;AVDANCIK;YOK
Beyşehir;BADEMLİ;YOK
Beyşehir;BAYAT;VAR
Beyşehir;BAYAVŞAR;VAR
Beyşehir;BAYINDIR;VAR
Beyşehir;BAŞGÖZE;VAR
Beyşehir;BEKDEMİR;VAR
Beyşehir;DAMLAPINAR;VAR
Beyşehir;DOĞANBEY;VAR
Beyşehir;DOĞANCIK;VAR
Beyşehir;DUMANLI;VAR
Beyşehir;EMEN;VAR
Beyşehir;ESENCE;VAR
Beyşehir;EYLİKLER;VAR
Beyşehir;EĞİRLER;VAR
Beyşehir;FASILLAR;VAR
Beyşehir;GÖKÇEKUYU;VAR
Beyşehir;GÖKÇİMEN;VAR
Beyşehir;GÖLKAŞI;VAR
Beyşehir;GÖLYAKA;VAR
Beyşehir;GÖNEN;VAR
Beyşehir;GÖÇÜ;VAR
Beyşehir;GÜNDOĞDU;VAR
Beyşehir;HUĞLU;VAR
Beyşehir;HÜSEYİNLER;VAR
Beyşehir;İSAKÖY;VAR
Beyşehir;KARAALİ;VAR
Beyşehir;KARABAYAT;VAR
Beyşehir;KARADİKEN;VAR
Beyşehir;KARAHİSAR;VAR
Beyşehir;KAYABAŞI;VAR
Beyşehir;KURUCUOVA;VAR
Beyşehir;KUŞLUCA;VAR
Beyşehir;KÜÇÜKAVŞAR;VAR
Beyşehir;MESUTLAR;VAR
Beyşehir;SADIKHACI;VAR
Beyşehir;SARIKÖY;VAR
Beyşehir;SEVİNDİK;VAR
Beyşehir;ŞAMLAR;VAR
Beyşehir;ÜÇPINAR;VAR
Beyşehir;ÜSTÜNLER;VAR
Beyşehir;ÜZÜMLÜ;VAR
Beyşehir;YAZYURDU;VAR
Beyşehir;YENİDOĞAN;VAR
Beyşehir;YEŞİLDAĞ;VAR
Beyşehir;YUKARIESENCE;VAR
Beyşehir;YUNUSLAR;YOK
Beyşehir;ÇİFTLİK;VAR
Beyşehir;ÇİVRİL;VAR
Beyşehir;ÇUKURAĞIL;VAR
Bozkır;ÇAĞLAYAN;VAR
Bozkır;HAMZALAR;VAR
Bozkır;AKÇAPINAR;VAR
Bozkır;ARMUTLU;VAR
Bozkır;ARSLANTAŞ;VAR
Bozkır;AYDINKIŞLA;VAR
Bozkır;AYVALCA;VAR
Bozkır;BAĞYURDU;VAR
Bozkır;BAYBAĞAN;VAR
Bozkır;BOZDAM;VAR
Bozkır;DEREİÇİ;VAR
Bozkır;DEREKÖY;VAR
Bozkır;ELMAAĞAÇ;YOK
Bozkır;HACILAR;VAR
Bozkır;HACIYUNUSLAR;VAR
Bozkır;HARMANPINAR;VAR
Bozkır;HİSARLIK;VAR
Bozkır;IŞIKLAR;VAR
Bozkır;KARABAYIR;VAR
Bozkır;KARACAARDIÇ;VAR
Bozkır;KARACAHİSAR;VAR
Bozkır;KARAYAHYA;YOK
Bozkır;KAYACILAR;VAR
Bozkır;KAYAPINAR;VAR
Bozkır;KINIK;VAR
Bozkır;KIZILÇAKIR;YOK
Bozkır;KİLDERE;VAR
Bozkır;KOVANLIK;VAR
Bozkır;KOZAĞAÇ;VAR
Bozkır;KUŞÇA;VAR
Bozkır;KÜÇÜKHİSARLIK;VAR
Bozkır;PINARCIK;VAR
Bozkır;SARIOĞLAN;VAR
Bozkır;SAZLI;VAR
Bozkır;SOĞUCAK;VAR
Bozkır;SORKUN;VAR
Bozkır;SÖĞÜT;VAR
Bozkır;TARLABAŞI;VAR
Bozkır;TAŞBAŞI;YOK
Bozkır;TEPEARASI;VAR
Bozkır;TEPELİCE;VAR
Bozkır;ULUPINAR;VAR
Bozkır;ÜÇPINAR;VAR
Bozkır;YALNIZCA;VAR
Bozkır;YAZDAMI;VAR
Bozkır;YELBEYİ;VAR
Bozkır;YENİKÖY;VAR
Bozkır;YOLÖREN;VAR
Çeltik;GÖKPINAR;VAR
Çeltik;ADAKASIM;VAR
Çeltik;DOĞANYURT;VAR
Çeltik;KAŞÖREN;VAR
Çeltik;KÜÇÜKHASAN;VAR
Çeltik;TORUNLAR;VAR
Çeltik;İSHAKUŞAĞI;VAR
Çeltik;HONAMLI;VAR
Cihanbeyli;BÖĞRÜDELİK;VAR
Cihanbeyli;YAPALI;VAR
Cihanbeyli;YENİCEOBA;VAR
Cihanbeyli;CUMHURİYET;YOK
Cihanbeyli;GEMECİK;VAR
Cihanbeyli;GÖKTEPE;VAR
Cihanbeyli;AĞABEYLİ;VAR
Cihanbeyli;HODOĞLU;YOK
Cihanbeyli;KAYI;VAR
Cihanbeyli;KIRKIŞLA;VAR
Cihanbeyli;KORKMAZLAR;VAR
Cihanbeyli;KÜÇÜKBEŞKAVAK;VAR
Cihanbeyli;MUTLUKONAK;VAR
Cihanbeyli;SAĞLIK;YOK
Cihanbeyli;SIĞIRCIK;VAR
Cihanbeyli;TURANLAR;YOK
Cihanbeyli;TÜFEKÇİPINAR;VAR
Cihanbeyli;UZUNCAYAYLA;VAR
Cihanbeyli;YÜNLÜKUYU;YOK
Cihanbeyli;ZAFERİYE;VAR
Cihanbeyli;GÖLYAZI;VAR
Cihanbeyli;GÜNYÜZÜ;VAR
Cihanbeyli;İNSUYU;VAR
Cihanbeyli;KANDİL;VAR
Cihanbeyli;KARABAĞ;YOK
Cihanbeyli;KELHASAN;VAR
Cihanbeyli;KUŞCA;VAR
Cihanbeyli;KÜTÜKUŞAĞI;VAR
Cihanbeyli;TAŞPINAR;VAR
Cihanbeyli;BEYLİOVA;VAR
Cihanbeyli;ÇİMEN;VAR
Cihanbeyli;ÇÖL;VAR
Cihanbeyli;DAMLAKUYU;VAR
Cihanbeyli;BULDUK;YOK
Cihanbeyli;BÜYÜKBEŞKAVAK;YOK
Cihanbeyli;KARATEPE;YOK
Çumra;ARIKÖREN;VAR
Çumra;DEDEMOĞLU;VAR
Çumra;TÜRKMENCAMİLİ;VAR
Çumra;A.B.HÜYÜĞÜ;VAR
Çumra;DİNEK;VAR
Çumra;İÇERİÇUMRA;VAR
