ilce_adi;mahalle_adi;tarimsal_sulama_suyu_kaynagi
Ahırlı;ALİÇERÇİ;YOK
Ahırlı;BADEMLİ;YOK
Ahırlı;BALIKLAVA;GÖL
Ahırlı;BÜYÜKÖZ;ŞAHSİ KUYULAR
Ahırlı;ÇİFTLİK;YOK
Ahırlı;ERDOĞAN;ŞAHSİ KUYULAR
Ahırlı;KARACAKUYU;ŞAHSİ KUYULAR
Ahırlı;KAYACIK;ŞAHSİ KUYULAR
Ahırlı;KURUÇAY;ŞAHSİ KUYULAR
Ahırlı;KÜÇÜKÖZ;ŞAHSİ KUYULAR
Akören;AVDAN;ŞAHSİ KUYULAR
Akören;KAYASU;KOOPERATİF KUYULARI
Akören;AHMEDİYE;KOOPERATİF KUYULARI
Akören;ALAN;YOK
Akören;BELKUYU;ŞAHSİ KUYULAR
Akören;ÇATÖREN;YERALTI SULARI
Akören;DUTLU;YOK
Akören;ORHANİYE;KOOPERATİF KUYULARI
Akören;SÜLEYMANİYE;YERALTI SULARI
Akören;TÜLCE;YERALTI SULARI
Akören;KARAHÜYÜK;KOOPERATİF KUYULARI
Akşehir;ÇAKILLAR;KOOPERATİF KUYULARI
Akşehir;GEDİL;KOOPERATİF KUYULARI
Akşehir;KARAHÜYÜK;YERALTI SULARI
Akşehir;ADSIZ;YERALTI SULARI, KOOPERATİF KUYULARI
Akşehir;ALANYURT;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Akşehir;ALTUNTAŞ;ÇAY
Akşehir;ATAKENT;ÇAY, AKARSU
Akşehir;BOZLAĞAN;KOOPERATİF KUYULARI
Akşehir;CANKURTARAN;ŞAHSİ KUYULAR
Akşehir;ÇAMLI;ÇAY, KANAL
Akşehir;ÇİMENDERE;ÇAY, AKARSU, KOOPERATİF KUYULARI
Akşehir;DEĞİRMENKÖY;AKARSU
Akşehir;DOĞRUGÖZ;ŞAHSİ KUYULAR
Akşehir;ENGİLİ;ŞAHSİ KUYULAR, YERALTI SULARI, KOOPERATİF KUYULARI
Akşehir;GÖLÇAYIR;KOOPERATİF KUYULARI
Akşehir;GÖZPINARI;ÇAY, YERALTI SULARI
Akşehir;ILICAK;ŞAHSİ KUYULAR, DERE
Akşehir;KARABULUT;YERALTI SULARI
Akşehir;ORTACA;ŞAHSİ KUYULAR, YERALTI SULARI
Akşehir;ORTAKÖY;ŞAHSİ KUYULAR
Akşehir;REİS;ŞAHSİ KUYULAR
Akşehir;SAVAŞ;YERALTI SULARI, KOOPERATİF KUYULARI
Akşehir;SORKUN;YERALTI SULARI
Akşehir;SÖĞÜTLÜ;ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
Akşehir;TEKKE;ŞAHSİ KUYULAR, YERALTI SULARI
Akşehir;TİPİKÖY;ŞAHSİ KUYULAR, YERALTI SULARI
Akşehir;ULUPINAR;ŞAHSİ KUYULAR
Akşehir;ÜÇHÜYÜK;ŞAHSİ KUYULAR
Akşehir;YAŞARLAR;ŞAHSİ KUYULAR
Akşehir;YAYLABELEN;YERALTI SULARI, KOOPERATİF KUYULARI
Akşehir;YAZLA;YERALTI SULARI
Akşehir;YENİKÖY;KOOPERATİF KUYULARI
Akşehir;YEŞİLKÖY;ÇAY, ŞAHSİ KUYULAR
Akşehir;SARAY;KOOPERATİF KUYULARI
Altınekin;OĞUZELİ;ŞAHSİ KUYULAR
Altınekin;AKCAŞAR;ŞAHSİ KUYULAR, YERALTI SULARI
Altınekin;AYIŞIĞI;YOK
Altınekin;AKKÖY;ŞAHSİ KUYULAR
Altınekin;BORUKKUYU;KOOPERATİF KUYULARI
Altınekin;HACINUMAN;ŞAHSİ KUYULAR
Altınekin;KARAKAYA;ŞAHSİ KUYULAR, YERALTI SULARI
Altınekin;KOÇAŞ;YERALTI SULARI, KOOPERATİF KUYULARI
Altınekin;KOÇYAKA;ŞAHSİ KUYULAR, YERALTI SULARI
Altınekin;MANTAR;YERALTI SULARI
Altınekin;YENİÖLMEZ;ŞAHSİ KUYULAR
Altınekin;SARNIÇ;ŞAHSİ KUYULAR, YERALTI SULARI
Altınekin;TOPRAKLIK;ŞAHSİ KUYULAR
Altınekin;YENİKUYU;YERALTI SULARI
Altınekin;YENİYAYLA;ŞAHSİ KUYULAR
Altınekin;DEDELER;YERALTI SULARI
Altınekin;AKINCILAR;YERALTI SULARI
Beyşehir;ADAKÖY;ŞAHSİ KUYULAR
Beyşehir;AĞILÖNÜ;ŞAHSİ KUYULAR
Beyşehir;AKBURUN;ŞAHSİ KUYULAR, GÖL
Beyşehir;AKÇABELEN;KOOPERATİF KUYULARI
Beyşehir;AVDANCIK;KANAL
Beyşehir;BADEMLİ;YOK
Beyşehir;BAYAT;KANAL
Beyşehir;BAYAVŞAR;ÇAY
Beyşehir;BAYINDIR;GÖL
Beyşehir;BAŞGÖZE;GÖLET
Beyşehir;BEKDEMİR;GÖL
Beyşehir;DAMLAPINAR;BARAJ
Beyşehir;DOĞANBEY;BARAJ
Beyşehir;DOĞANCIK;GÖLET
Beyşehir;DUMANLI;ÇAY, AKARSU
Beyşehir;EMEN;ŞAHSİ KUYULAR
Beyşehir;ESENCE;ŞAHSİ KUYULAR
Beyşehir;EYLİKLER;DERE
Beyşehir;EĞİRLER;ŞAHSİ KUYULAR, YERALTI SULARI
Beyşehir;FASILLAR;ŞAHSİ KUYULAR
Beyşehir;GÖKÇEKUYU;GÖLET
Beyşehir;GÖKÇİMEN;ŞAHSİ KUYULAR
Beyşehir;GÖLKAŞI;GÖL
Beyşehir;GÖLYAKA;ŞAHSİ KUYULAR
Beyşehir;GÖNEN;GÖLET
Beyşehir;GÖÇÜ;ÇAY, ŞAHSİ KUYULAR
Beyşehir;GÜNDOĞDU;ŞAHSİ KUYULAR
Beyşehir;HUĞLU;BARAJ, GÖLET, YERALTI SULARI
Beyşehir;HÜSEYİNLER;ŞAHSİ KUYULAR
Beyşehir;İSAKÖY;KANAL
Beyşehir;KARAALİ;ŞAHSİ KUYULAR, BARAJ
Beyşehir;KARABAYAT;ŞAHSİ KUYULAR, YERALTI SULARI, KOOPERATİF KUYULARI
Beyşehir;KARADİKEN;GÖL
Beyşehir;KARAHİSAR;GÖL, KANAL
Beyşehir;KAYABAŞI;ŞAHSİ KUYULAR
Beyşehir;KURUCUOVA;GÖL
Beyşehir;KUŞLUCA;ŞAHSİ KUYULAR
Beyşehir;KÜÇÜKAVŞAR;ŞAHSİ KUYULAR
Beyşehir;MESUTLAR;ŞAHSİ KUYULAR
Beyşehir;SADIKHACI;YERALTI SULARI
Beyşehir;SARIKÖY;ÇAY, AKARSU
Beyşehir;SEVİNDİK;KOOPERATİF KUYULARI
Beyşehir;ŞAMLAR;ŞAHSİ KUYULAR, GÖLET
Beyşehir;ÜÇPINAR;ŞAHSİ KUYULAR
Beyşehir;ÜSTÜNLER;ÇAY, BARAJ
Beyşehir;ÜZÜMLÜ;GÖLET
Beyşehir;YAZYURDU;ŞAHSİ KUYULAR
Beyşehir;YENİDOĞAN;GÖLET
Beyşehir;YEŞİLDAĞ;AKARSU
Beyşehir;YUKARIESENCE;GÖL
Beyşehir;YUNUSLAR;ÇAY
Beyşehir;ÇİFTLİK;GÖLET
Beyşehir;ÇİVRİL;KANAL
Beyşehir;ÇUKURAĞIL;ŞAHSİ KUYULAR
Bozkır;ÇAĞLAYAN;ŞAHSİ KUYULAR
Bozkır;HAMZALAR;ŞAHSİ KUYULAR
Bozkır;AKÇAPINAR;GÖLET
Bozkır;ARMUTLU;ŞAHSİ KUYULAR, DERE
Bozkır;ARSLANTAŞ;ŞAHSİ KUYULAR
Bozkır;AYDINKIŞLA;ŞAHSİ KUYULAR
Bozkır;AYVALCA;ŞAHSİ KUYULAR
Bozkır;BAĞYURDU;ŞAHSİ KUYULAR
Bozkır;BAYBAĞAN;DERE
Bozkır;BOZDAM;ŞAHSİ KUYULAR
Bozkır;DEREİÇİ;GÖLET
Bozkır;DEREKÖY;ÇAY
Bozkır;ELMAAĞAÇ;YOK
Bozkır;HACILAR;ŞAHSİ KUYULAR
Bozkır;HACIYUNUSLAR;ŞAHSİ KUYULAR
Bozkır;HARMANPINAR;ŞAHSİ KUYULAR
Bozkır;HİSARLIK;ŞAHSİ KUYULAR
Bozkır;IŞIKLAR;DERE
Bozkır;KARABAYIR;ŞAHSİ KUYULAR
Bozkır;KARACAARDIÇ;ŞAHSİ KUYULAR
Bozkır;KARACAHİSAR;YERALTI SULARI
Bozkır;KARAYAHYA;YOK
Bozkır;KAYACILAR;ŞAHSİ KUYULAR
Bozkır;KAYAPINAR;ŞAHSİ KUYULAR, AKARSU
Bozkır;KINIK;ŞAHSİ KUYULAR
Bozkır;KIZILÇAKIR;YOK
Bozkır;KİLDERE;DERE
Bozkır;KOVANLIK;ÇAY
